constructor_id,constructor_ref,name,nationality,data_source,file_date,ingestion_date
1,mclaren,McLaren,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
2,bmw_sauber,BMW Sauber,German,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
3,williams,Williams,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
4,renault,Renault,French,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
5,toro_rosso,Toro Rosso,Italian,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
6,ferrari,Ferrari,Italian,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
7,toyota,Toyota,Japanese,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
8,super_aguri,Super Aguri,Japanese,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
9,red_bull,Red Bull,Austrian,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
10,force_india,Force India,Indian,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
11,honda,Honda,Japanese,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
12,spyker,Spyker,Dutch,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
13,mf1,MF1,Russian,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
14,spyker_mf1,Spyker MF1,Dutch,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
15,sauber,Sauber,Swiss,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
16,bar,BAR,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
17,jordan,Jordan,Irish,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
18,minardi,Minardi,Italian,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
19,jaguar,Jaguar,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
20,prost,Prost,French,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
21,arrows,Arrows,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
22,benetton,Benetton,Italian,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
23,brawn,Brawn,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
24,stewart,Stewart,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
25,tyrrell,Tyrrell,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
26,lola,Lola,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
27,ligier,Ligier,French,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
28,forti,Forti,Italian,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
29,footwork,Footwork,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
30,pacific,Pacific,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
31,simtek,Simtek,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
32,team_lotus,Team Lotus,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
33,larrousse,Larrousse,French,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
34,brabham,Brabham,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
35,dallara,Dallara,Italian,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
36,fondmetal,Fondmetal,Italian,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
37,march,March,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
38,moda,Andrea Moda,Italian,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
39,ags,AGS,French,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
40,lambo,Lambo,Italian,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
41,leyton,Leyton House,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
42,coloni,Coloni,Italian,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
44,eurobrun,Euro Brun,Italian,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
45,osella,Osella,Italian,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
46,onyx,Onyx,British,Ergast,2021-04-18,2024-10-07T11:40:52.808Z
