race_id,race_year,round,circuit_id,name,ingestion_date,race_timestamp
1053,2021,2,21,Emilia Romagna Grand Prix,2024-10-07T11:40:53.013Z,2021-04-18T13:00:00.000Z
1052,2021,1,3,Bahrain Grand Prix,2024-10-07T11:40:53.013Z,2021-03-28T15:00:00.000Z
1051,2021,21,1,Australian Grand Prix,2024-10-07T11:40:53.013Z,2021-11-21T06:00:00.000Z
1054,2021,3,75,Portuguese Grand Prix,2024-10-07T11:40:53.013Z,2021-05-02T14:00:00.000Z
1055,2021,4,4,Spanish Grand Prix,2024-10-07T11:40:53.013Z,2021-05-09T13:00:00.000Z
1056,2021,5,6,Monaco Grand Prix,2024-10-07T11:40:53.013Z,2021-05-23T13:00:00.000Z
1057,2021,6,73,Azerbaijan Grand Prix,2024-10-07T11:40:53.013Z,2021-06-06T12:00:00.000Z
1058,2021,8,70,Styrian Grand Prix,2024-10-07T11:40:53.013Z,2021-06-27T13:00:00.000Z
1059,2021,7,34,French Grand Prix,2024-10-07T11:40:53.013Z,2021-06-20T13:00:00.000Z
1060,2021,9,70,Austrian Grand Prix,2024-10-07T11:40:53.013Z,2021-07-04T13:00:00.000Z
1061,2021,10,9,British Grand Prix,2024-10-07T11:40:53.013Z,2021-07-18T14:00:00.000Z
1062,2021,11,11,Hungarian Grand Prix,2024-10-07T11:40:53.013Z,2021-08-01T13:00:00.000Z
1063,2021,12,13,Belgian Grand Prix,2024-10-07T11:40:53.013Z,2021-08-29T13:00:00.000Z
1064,2021,13,39,Dutch Grand Prix,2024-10-07T11:40:53.013Z,2021-09-05T13:00:00.000Z
1065,2021,14,14,Italian Grand Prix,2024-10-07T11:40:53.013Z,2021-09-12T13:00:00.000Z
1066,2021,15,71,Russian Grand Prix,2024-10-07T11:40:53.013Z,2021-09-26T12:00:00.000Z
1067,2021,16,15,Singapore Grand Prix,2024-10-07T11:40:53.013Z,2021-10-03T12:00:00.000Z
1068,2021,17,22,Japanese Grand Prix,2024-10-07T11:40:53.013Z,2021-10-10T05:00:00.000Z
1069,2021,18,69,United States Grand Prix,2024-10-07T11:40:53.013Z,2021-10-24T19:00:00.000Z
1070,2021,19,32,Mexico City Grand Prix,2024-10-07T11:40:53.013Z,2021-10-31T19:00:00.000Z
1071,2021,20,18,Brazilian Grand Prix,2024-10-07T11:40:53.013Z,2021-11-07T17:00:00.000Z
1072,2021,22,77,Saudi Arabian Grand Prix,2024-10-07T11:40:53.013Z,2021-12-05T16:00:00.000Z
1073,2021,23,24,Abu Dhabi Grand Prix,2024-10-07T11:40:53.013Z,2021-12-12T13:00:00.000Z
36,2007,1,1,Australian Grand Prix,2024-10-07T11:40:53.013Z,2007-03-18T03:00:00.000Z
37,2007,2,2,Malaysian Grand Prix,2024-10-07T11:40:53.013Z,2007-04-08T07:00:00.000Z
38,2007,3,3,Bahrain Grand Prix,2024-10-07T11:40:53.013Z,2007-04-15T11:30:00.000Z
39,2007,4,4,Spanish Grand Prix,2024-10-07T11:40:53.013Z,2007-05-13T12:00:00.000Z
40,2007,5,6,Monaco Grand Prix,2024-10-07T11:40:53.013Z,2007-05-27T12:00:00.000Z
41,2007,6,7,Canadian Grand Prix,2024-10-07T11:40:53.013Z,2007-06-10T17:00:00.000Z
42,2007,7,19,United States Grand Prix,2024-10-07T11:40:53.013Z,2007-06-17T17:00:00.000Z
43,2007,8,8,French Grand Prix,2024-10-07T11:40:53.013Z,2007-07-01T12:00:00.000Z
44,2007,9,9,British Grand Prix,2024-10-07T11:40:53.013Z,2007-07-08T12:00:00.000Z
45,2007,10,20,European Grand Prix,2024-10-07T11:40:53.013Z,2007-07-22T12:00:00.000Z
46,2007,11,11,Hungarian Grand Prix,2024-10-07T11:40:53.013Z,2007-08-05T12:00:00.000Z
47,2007,12,5,Turkish Grand Prix,2024-10-07T11:40:53.013Z,2007-08-26T12:00:00.000Z
48,2007,13,14,Italian Grand Prix,2024-10-07T11:40:53.013Z,2007-09-09T12:00:00.000Z
49,2007,14,13,Belgian Grand Prix,2024-10-07T11:40:53.013Z,2007-09-16T12:00:00.000Z
50,2007,15,16,Japanese Grand Prix,2024-10-07T11:40:53.013Z,2007-09-30T04:30:00.000Z
51,2007,16,17,Chinese Grand Prix,2024-10-07T11:40:53.013Z,2007-10-07T06:00:00.000Z
52,2007,17,18,Brazilian Grand Prix,2024-10-07T11:40:53.013Z,2007-10-21T16:00:00.000Z
124,2002,1,1,Australian Grand Prix,2024-10-07T11:40:53.013Z,null
125,2002,2,2,Malaysian Grand Prix,2024-10-07T11:40:53.013Z,null
126,2002,3,18,Brazilian Grand Prix,2024-10-07T11:40:53.013Z,null
127,2002,4,21,San Marino Grand Prix,2024-10-07T11:40:53.013Z,null
128,2002,5,4,Spanish Grand Prix,2024-10-07T11:40:53.013Z,null
129,2002,6,23,Austrian Grand Prix,2024-10-07T11:40:53.013Z,null
130,2002,7,6,Monaco Grand Prix,2024-10-07T11:40:53.013Z,null
131,2002,8,7,Canadian Grand Prix,2024-10-07T11:40:53.013Z,null
132,2002,9,20,European Grand Prix,2024-10-07T11:40:53.013Z,null
133,2002,10,9,British Grand Prix,2024-10-07T11:40:53.013Z,null
134,2002,11,8,French Grand Prix,2024-10-07T11:40:53.013Z,null
135,2002,12,10,German Grand Prix,2024-10-07T11:40:53.013Z,null
136,2002,13,11,Hungarian Grand Prix,2024-10-07T11:40:53.013Z,null
137,2002,14,13,Belgian Grand Prix,2024-10-07T11:40:53.013Z,null
138,2002,15,14,Italian Grand Prix,2024-10-07T11:40:53.013Z,null
139,2002,16,19,United States Grand Prix,2024-10-07T11:40:53.013Z,null
140,2002,17,22,Japanese Grand Prix,2024-10-07T11:40:53.013Z,null
560,1976,1,18,Brazilian Grand Prix,2024-10-07T11:40:53.013Z,null
561,1976,2,30,South African Grand Prix,2024-10-07T11:40:53.013Z,null
562,1976,3,43,United States Grand Prix West,2024-10-07T11:40:53.013Z,null
563,1976,4,45,Spanish Grand Prix,2024-10-07T11:40:53.013Z,null
564,1976,5,40,Belgian Grand Prix,2024-10-07T11:40:53.013Z,null
565,1976,6,6,Monaco Grand Prix,2024-10-07T11:40:53.013Z,null
566,1976,7,47,Swedish Grand Prix,2024-10-07T11:40:53.013Z,null
567,1976,8,34,French Grand Prix,2024-10-07T11:40:53.013Z,null
568,1976,9,38,British Grand Prix,2024-10-07T11:40:53.013Z,null
569,1976,10,20,German Grand Prix,2024-10-07T11:40:53.013Z,null
570,1976,11,23,Austrian Grand Prix,2024-10-07T11:40:53.013Z,null
571,1976,12,39,Dutch Grand Prix,2024-10-07T11:40:53.013Z,null
572,1976,13,14,Italian Grand Prix,2024-10-07T11:40:53.013Z,null
573,1976,14,48,Canadian Grand Prix,2024-10-07T11:40:53.013Z,null
574,1976,15,46,United States Grand Prix,2024-10-07T11:40:53.013Z,null
575,1976,16,16,Japanese Grand Prix,2024-10-07T11:40:53.013Z,null
108,2003,1,1,Australian Grand Prix,2024-10-07T11:40:53.013Z,null
109,2003,2,2,Malaysian Grand Prix,2024-10-07T11:40:53.013Z,null
110,2003,3,18,Brazilian Grand Prix,2024-10-07T11:40:53.013Z,null
111,2003,4,21,San Marino Grand Prix,2024-10-07T11:40:53.013Z,null
112,2003,5,4,Spanish Grand Prix,2024-10-07T11:40:53.013Z,null
113,2003,6,23,Austrian Grand Prix,2024-10-07T11:40:53.013Z,null
114,2003,7,6,Monaco Grand Prix,2024-10-07T11:40:53.013Z,null
115,2003,8,7,Canadian Grand Prix,2024-10-07T11:40:53.013Z,null
116,2003,9,20,European Grand Prix,2024-10-07T11:40:53.013Z,null
117,2003,10,8,French Grand Prix,2024-10-07T11:40:53.013Z,null
118,2003,11,9,British Grand Prix,2024-10-07T11:40:53.013Z,null
119,2003,12,10,German Grand Prix,2024-10-07T11:40:53.013Z,null
120,2003,13,11,Hungarian Grand Prix,2024-10-07T11:40:53.013Z,null
121,2003,14,14,Italian Grand Prix,2024-10-07T11:40:53.013Z,null
122,2003,15,19,United States Grand Prix,2024-10-07T11:40:53.013Z,null
123,2003,16,22,Japanese Grand Prix,2024-10-07T11:40:53.013Z,null
420,1985,1,36,Brazilian Grand Prix,2024-10-07T11:40:53.013Z,null
421,1985,2,27,Portuguese Grand Prix,2024-10-07T11:40:53.013Z,null
422,1985,3,21,San Marino Grand Prix,2024-10-07T11:40:53.013Z,null
423,1985,4,6,Monaco Grand Prix,2024-10-07T11:40:53.013Z,null
424,1985,5,7,Canadian Grand Prix,2024-10-07T11:40:53.013Z,null
425,1985,6,37,Detroit Grand Prix,2024-10-07T11:40:53.013Z,null
426,1985,7,34,French Grand Prix,2024-10-07T11:40:53.013Z,null
427,1985,8,9,British Grand Prix,2024-10-07T11:40:53.013Z,null
428,1985,9,20,German Grand Prix,2024-10-07T11:40:53.013Z,null
429,1985,10,23,Austrian Grand Prix,2024-10-07T11:40:53.013Z,null
430,1985,11,39,Dutch Grand Prix,2024-10-07T11:40:53.013Z,null
431,1985,12,14,Italian Grand Prix,2024-10-07T11:40:53.013Z,null
432,1985,13,13,Belgian Grand Prix,2024-10-07T11:40:53.013Z,null
433,1985,14,38,European Grand Prix,2024-10-07T11:40:53.013Z,null
434,1985,15,30,South African Grand Prix,2024-10-07T11:40:53.013Z,null
435,1985,16,29,Australian Grand Prix,2024-10-07T11:40:53.013Z,null
356,1989,1,36,Brazilian Grand Prix,2024-10-07T11:40:53.013Z,null
357,1989,2,21,San Marino Grand Prix,2024-10-07T11:40:53.013Z,null
358,1989,3,6,Monaco Grand Prix,2024-10-07T11:40:53.013Z,null
359,1989,4,32,Mexican Grand Prix,2024-10-07T11:40:53.013Z,null
360,1989,5,33,United States Grand Prix,2024-10-07T11:40:53.013Z,null
361,1989,6,7,Canadian Grand Prix,2024-10-07T11:40:53.013Z,null
362,1989,7,34,French Grand Prix,2024-10-07T11:40:53.013Z,null
363,1989,8,9,British Grand Prix,2024-10-07T11:40:53.013Z,null
364,1989,9,10,German Grand Prix,2024-10-07T11:40:53.013Z,null
365,1989,10,11,Hungarian Grand Prix,2024-10-07T11:40:53.013Z,null
366,1989,11,13,Belgian Grand Prix,2024-10-07T11:40:53.013Z,null
367,1989,12,14,Italian Grand Prix,2024-10-07T11:40:53.013Z,null
368,1989,13,27,Portuguese Grand Prix,2024-10-07T11:40:53.013Z,null
369,1989,14,26,Spanish Grand Prix,2024-10-07T11:40:53.013Z,null
370,1989,15,22,Japanese Grand Prix,2024-10-07T11:40:53.013Z,null
371,1989,16,29,Australian Grand Prix,2024-10-07T11:40:53.013Z,null
321,1990,1,33,United States Grand Prix,2024-10-07T11:40:53.013Z,null
322,1990,2,18,Brazilian Grand Prix,2024-10-07T11:40:53.013Z,null
323,1990,3,21,San Marino Grand Prix,2024-10-07T11:40:53.013Z,null
324,1990,4,6,Monaco Grand Prix,2024-10-07T11:40:53.013Z,null
325,1990,5,7,Canadian Grand Prix,2024-10-07T11:40:53.013Z,null
326,1990,6,32,Mexican Grand Prix,2024-10-07T11:40:53.013Z,null
327,1990,7,34,French Grand Prix,2024-10-07T11:40:53.013Z,null
328,1990,8,9,British Grand Prix,2024-10-07T11:40:53.013Z,null
329,1990,9,10,German Grand Prix,2024-10-07T11:40:53.013Z,null
330,1990,10,11,Hungarian Grand Prix,2024-10-07T11:40:53.013Z,null
331,1990,11,13,Belgian Grand Prix,2024-10-07T11:40:53.013Z,null
332,1990,12,14,Italian Grand Prix,2024-10-07T11:40:53.013Z,null
333,1990,13,27,Portuguese Grand Prix,2024-10-07T11:40:53.013Z,null
334,1990,14,26,Spanish Grand Prix,2024-10-07T11:40:53.013Z,null
335,1990,15,22,Japanese Grand Prix,2024-10-07T11:40:53.013Z,null
336,1990,16,29,Australian Grand Prix,2024-10-07T11:40:53.013Z,null
257,1994,1,18,Brazilian Grand Prix,2024-10-07T11:40:53.013Z,null
258,1994,2,28,Pacific Grand Prix,2024-10-07T11:40:53.013Z,null
259,1994,3,21,San Marino Grand Prix,2024-10-07T11:40:53.013Z,null
260,1994,4,6,Monaco Grand Prix,2024-10-07T11:40:53.013Z,null
261,1994,5,4,Spanish Grand Prix,2024-10-07T11:40:53.013Z,null
262,1994,6,7,Canadian Grand Prix,2024-10-07T11:40:53.013Z,null
263,1994,7,8,French Grand Prix,2024-10-07T11:40:53.013Z,null
264,1994,8,9,British Grand Prix,2024-10-07T11:40:53.013Z,null
265,1994,9,10,German Grand Prix,2024-10-07T11:40:53.013Z,null
266,1994,10,11,Hungarian Grand Prix,2024-10-07T11:40:53.013Z,null
267,1994,11,13,Belgian Grand Prix,2024-10-07T11:40:53.013Z,null
268,1994,12,14,Italian Grand Prix,2024-10-07T11:40:53.013Z,null
269,1994,13,27,Portuguese Grand Prix,2024-10-07T11:40:53.013Z,null
270,1994,14,26,European Grand Prix,2024-10-07T11:40:53.013Z,null
271,1994,15,22,Japanese Grand Prix,2024-10-07T11:40:53.013Z,null
272,1994,16,29,Australian Grand Prix,2024-10-07T11:40:53.013Z,null
605,1973,1,25,Argentine Grand Prix,2024-10-07T11:40:53.013Z,null
606,1973,2,18,Brazilian Grand Prix,2024-10-07T11:40:53.013Z,null
607,1973,3,30,South African Grand Prix,2024-10-07T11:40:53.013Z,null
608,1973,4,49,Spanish Grand Prix,2024-10-07T11:40:53.013Z,null
609,1973,5,40,Belgian Grand Prix,2024-10-07T11:40:53.013Z,null
610,1973,6,6,Monaco Grand Prix,2024-10-07T11:40:53.013Z,null
611,1973,7,47,Swedish Grand Prix,2024-10-07T11:40:53.013Z,null
612,1973,8,34,French Grand Prix,2024-10-07T11:40:53.013Z,null
613,1973,9,9,British Grand Prix,2024-10-07T11:40:53.013Z,null
614,1973,10,39,Dutch Grand Prix,2024-10-07T11:40:53.013Z,null
615,1973,11,20,German Grand Prix,2024-10-07T11:40:53.013Z,null
616,1973,12,23,Austrian Grand Prix,2024-10-07T11:40:53.013Z,null
617,1973,13,14,Italian Grand Prix,2024-10-07T11:40:53.013Z,null
618,1973,14,48,Canadian Grand Prix,2024-10-07T11:40:53.013Z,null
619,1973,15,46,United States Grand Prix,2024-10-07T11:40:53.013Z,null
175,1999,1,1,Australian Grand Prix,2024-10-07T11:40:53.013Z,null
176,1999,2,18,Brazilian Grand Prix,2024-10-07T11:40:53.013Z,null
177,1999,3,21,San Marino Grand Prix,2024-10-07T11:40:53.013Z,null
178,1999,4,6,Monaco Grand Prix,2024-10-07T11:40:53.013Z,null
179,1999,5,4,Spanish Grand Prix,2024-10-07T11:40:53.013Z,null
180,1999,6,7,Canadian Grand Prix,2024-10-07T11:40:53.013Z,null
181,1999,7,8,French Grand Prix,2024-10-07T11:40:53.013Z,null
182,1999,8,9,British Grand Prix,2024-10-07T11:40:53.013Z,null
183,1999,9,23,Austrian Grand Prix,2024-10-07T11:40:53.013Z,null
184,1999,10,10,German Grand Prix,2024-10-07T11:40:53.013Z,null
185,1999,11,11,Hungarian Grand Prix,2024-10-07T11:40:53.013Z,null
186,1999,12,13,Belgian Grand Prix,2024-10-07T11:40:53.013Z,null
187,1999,13,14,Italian Grand Prix,2024-10-07T11:40:53.013Z,null
188,1999,14,20,European Grand Prix,2024-10-07T11:40:53.013Z,null
189,1999,15,2,Malaysian Grand Prix,2024-10-07T11:40:53.013Z,null
190,1999,16,22,Japanese Grand Prix,2024-10-07T11:40:53.013Z,null
498,1980,1,25,Argentine Grand Prix,2024-10-07T11:40:53.013Z,null
499,1980,2,18,Brazilian Grand Prix,2024-10-07T11:40:53.013Z,null
500,1980,3,30,South African Grand Prix,2024-10-07T11:40:53.013Z,null
501,1980,4,43,United States Grand Prix West,2024-10-07T11:40:53.013Z,null
502,1980,5,40,Belgian Grand Prix,2024-10-07T11:40:53.013Z,null
503,1980,6,6,Monaco Grand Prix,2024-10-07T11:40:53.013Z,null
504,1980,7,34,French Grand Prix,2024-10-07T11:40:53.013Z,null
505,1980,8,38,British Grand Prix,2024-10-07T11:40:53.013Z,null
506,1980,9,10,German Grand Prix,2024-10-07T11:40:53.013Z,null
507,1980,10,23,Austrian Grand Prix,2024-10-07T11:40:53.013Z,null
508,1980,11,39,Dutch Grand Prix,2024-10-07T11:40:53.013Z,null
509,1980,12,21,Italian Grand Prix,2024-10-07T11:40:53.013Z,null
510,1980,13,7,Canadian Grand Prix,2024-10-07T11:40:53.013Z,null
511,1980,14,46,United States Grand Prix,2024-10-07T11:40:53.013Z,null
576,1975,1,25,Argentine Grand Prix,2024-10-07T11:40:53.013Z,null
577,1975,2,18,Brazilian Grand Prix,2024-10-07T11:40:53.013Z,null
578,1975,3,30,South African Grand Prix,2024-10-07T11:40:53.013Z,null
